2023年06月
売上目標(円),,売上(円),245210,売上前年比(%),86.2459
利益(円),-5901526,利益率(%),-2406.7232

エリア,会場,会議室,売上,オーナー支払い,利益,利益率,売上前年比(円),売上前年比(%)
名古屋駅,名プレ3階,名プレ301,0,0,0,0,0,0
名古屋駅,名プレ3階,名プレ302,0,0,0,0,0,0
名古屋駅,名プレ3階,名プレ303,0,0,0,0,-3300,0
名古屋駅,名プレ3階,名プレ304,0,0,0,0,0,0
名古屋駅,名プレ3階,名プレ305,0,0,0,0,0,0
名古屋駅,名プレ3階,名プレ306,53900,0,53900,100,53900,0
名古屋駅,名プレ3階,名プレ307,64487,0,64487,100,64487,0
名古屋駅,名プレ3階,デスク＆コワーキング,1100,0,1100,100,0,100
名古屋駅,名プレ3階,名プレ【家賃+共益費+光熱費】,0,1051602,-1051602,0,0,0
名古屋駅,名プレ4階,名プレ401,0,0,0,0,0,0
名古屋駅,名プレ4階,名プレ402,0,0,0,0,0,0
名古屋駅,名プレ4階,名プレ403A,0,0,0,0,0,0
名古屋駅,名プレ4階,名プレ403AB,0,0,0,0,0,0
名古屋駅,名プレ4階,名プレ403ABC,0,0,0,0,0,0
名古屋駅,名プレ4階,名プレフロア貸切,0,0,0,0,0,0
名古屋駅,名プレ4階,名プレ【家賃+共益費+光熱費】,0,1051602,-1051602,0,0,0
名古屋駅,名カン5階,名カン501,0,0,0,0,0,0
名古屋駅,名カン5階,名カン502,9255,0,9255,100,9255,0
名古屋駅,名カン5階,名カン503,0,0,0,0,0,0
名古屋駅,名カン5階,名カン504,0,0,0,0,-17325,0
名古屋駅,名カン5階,名カン505,23760,0,23760,100,14850,266.66
名古屋駅,名カン5階,名カン506,0,0,0,0,-21120,0
名古屋駅,名カン5階,名カン507,0,0,0,0,0,0
名古屋駅,名カン5階,名カン5階【家賃+共益費+光熱費】,0,1013050,-1013050,0,0,0
名古屋駅,名カン7階,名カン701,0,0,0,0,0,0
名古屋駅,名カン7階,名カン702,0,0,0,0,0,0
名古屋駅,名カン7階,名カン703,0,0,0,0,0,0
名古屋駅,名カン7階,名カン704,0,0,0,0,0,0
名古屋駅,名カン7階,名カン705,0,0,0,0,-45760,0
名古屋駅,名カン7階,名カン706,0,0,0,0,-19965,0
名古屋駅,名カン7階,名カン707,0,0,0,0,0,0
名古屋駅,名カン7階,名カン708,0,0,0,0,0,0
名古屋駅,名カン7階,名カン709,0,0,0,0,0,0
名古屋駅,名カン7階,名カン7階【家賃+共益費】,0,1210000,-1210000,0,0,0
名古屋駅,花車ビル,花車905,0,0,0,0,-65553,0
名古屋駅,花車ビル,花車906,0,0,0,0,-71384,0
名古屋駅,花車ビル,花車907,0,0,0,0,0,0
名古屋駅,花車ビル,花車908,0,0,0,0,0,0
名古屋駅,花車ビル,花車909,0,0,0,0,0,0
名古屋駅,花車ビル,花車910A,0,0,0,0,0,0
名古屋駅,花車ビル,花車910AB,0,0,0,0,0,0
名古屋駅,花車ビル,花車フロア貸切,0,0,0,0,0,0
名古屋駅,花車ビル,花車ビル【家賃+共益費+光熱費】,0,910000,-910000,0,0,0
名古屋駅,SOUTH,SOUTH6A,0,0,0,0,0,0
名古屋駅,SOUTH,SOUTH6AB,0,0,0,0,0,0
名古屋駅,SOUTH,SOUTH【家賃+共益費+光熱費】,0,130000,-130000,0,0,0
名古屋駅,三喜,5階+6階,0,0,0,0,-1650,0
名古屋駅,クリばこ,貸スペース＆ギャラリー,0,0,0,0,0,0
丸の内,キリックス,2階＋B1会議室,5544,2200,3344,60.31,-14784,27.27
丸の内,アレックス,アレックス,0,0,0,0,0,0
栄,CHUTOホール,4階,0,0,0,0,0,0
栄,CHUTOホール,8階,0,0,0,0,-7920,0
栄,昭和ビル,会議室,0,0,0,0,0,0
栄,昭和ビル,ホール,0,0,0,0,0,0
伏見,サカエ22,6A,0,0,0,0,0,0
伏見,サカエ22,6B,0,0,0,0,0,0
伏見,サカエ22,6C,0,0,0,0,0,0
伏見,エフリード,ホール＆展示場,0,0,0,0,0,0
伏見,伏見コワーキング会議室,伏見コワーキング会議室,27500,13750,13750,50,27500,0
久屋大通,パムス,パムス,3520,1760,1760,50,3520,0
新栄,雲竜フレックスビル,310・1206,5544,2772,2772,50,5544,0
金山,名古屋金山ホテル,名古屋金山ホテル,0,0,0,0,0,0
笠寺,ワシントンホテルプラザ,笠寺ワシントンホテルプラザ,0,0,0,0,0,0
大阪,サザン,サザン601A,0,0,0,0,0,0
大阪,サザン,サザン601B,0,0,0,0,0,0
大阪,サザン,サザン602A,0,0,0,0,0,0
大阪,サザン,サザン602B,0,0,0,0,0,0
大阪,サザン,サザン703A,37730,0,37730,100,37730,0
大阪,サザン,サザン703AB,0,0,0,0,0,0
大阪,サザン,サザン703C,9570,0,9570,100,9570,0
大阪,サザン,サザン703D,3300,0,3300,100,3300,0
大阪,サザン,サザン【家賃+共益費+光熱費】,0,760000,-760000,0,0,0




